CustomerID,CustomerName,DateOfBirth,Gender,City,State
1,Customer_1,1987-06-13,Female,Delhi,West Bengal
2,Customer_2,2014-12-29,Female,Kolkata,Karnataka
3,Customer_3,2017-12-09,Female,Delhi,Delhi
4,Customer_4,2019-08-09,Female,Kolkata,West Bengal
5,Customer_5,2007-06-26,Male,Mumbai,Delhi
6,Customer_6,2006-08-19,Male,Mumbai,Maharashtra
7,Customer_7,1972-12-07,Female,Chennai,Delhi
8,Customer_8,1974-10-21,Female,Bangalore,Delhi
9,Customer_9,2008-05-21,Male,Delhi,Karnataka
10,Customer_10,1997-01-01,Male,Bangalore,Karnataka
11,Customer_11,1971-09-18,Male,Chennai,West Bengal
12,Customer_12,1994-06-06,Female,Mumbai,Karnataka
13,Customer_13,2013-02-01,Male,Kolkata,Tamil Nadu
14,Customer_14,1977-08-15,Female,Mumbai,Tamil Nadu
15,Customer_15,1994-12-21,Male,Kolkata,Delhi
16,Customer_16,1980-07-31,Male,Kolkata,Delhi
17,Customer_17,1999-08-12,Female,Delhi,West Bengal
18,Customer_18,1993-12-27,Female,Delhi,West Bengal
19,Customer_19,2005-06-09,Female,Kolkata,Maharashtra
20,Customer_20,1967-03-19,Male,Bangalore,Karnataka
21,Customer_21,1961-02-26,Male,Delhi,Karnataka
22,Customer_22,1975-01-20,Male,Chennai,West Bengal
23,Customer_23,1975-04-15,Male,Kolkata,Delhi
24,Customer_24,1965-12-27,Female,Mumbai,West Bengal
25,Customer_25,1960-07-06,Male,Delhi,Maharashtra
26,Customer_26,2017-02-28,Female,Kolkata,Tamil Nadu
27,Customer_27,1997-12-03,Male,Delhi,Tamil Nadu
28,Customer_28,2014-09-03,Female,Chennai,Karnataka
29,Customer_29,1988-06-19,Female,Delhi,West Bengal
30,Customer_30,2006-09-30,Female,Bangalore,Maharashtra
31,Customer_31,2006-11-13,Male,Mumbai,Tamil Nadu
32,Customer_32,2001-09-07,Female,Chennai,Tamil Nadu
33,Customer_33,1992-05-03,Female,Delhi,Karnataka
34,Customer_34,2006-07-28,Male,Kolkata,Tamil Nadu
35,Customer_35,2020-01-02,Male,Kolkata,Delhi
36,Customer_36,2011-01-05,Female,Chennai,Tamil Nadu
37,Customer_37,1987-08-22,Female,Mumbai,West Bengal
38,Customer_38,1981-06-21,Female,Delhi,Delhi
39,Customer_39,1970-08-09,Female,Delhi,Maharashtra
40,Customer_40,1991-01-18,Female,Mumbai,Delhi
41,Customer_41,1968-09-21,Female,Delhi,West Bengal
42,Customer_42,1999-12-25,Female,Bangalore,Delhi
43,Customer_43,1996-10-21,Female,Mumbai,Karnataka
44,Customer_44,2009-10-12,Male,Kolkata,Karnataka
45,Customer_45,2002-08-19,Female,Chennai,Delhi
